doc_id,word_count,token_count,sentence_count,char_count,char_count_no_spaces,avg_words_per_sentence,avg_syllables_per_word,flesch_kincaid_grade,gunning_fog_index,lexical_density,lexical_diversity,keyword_density,sentiment_polarity,named_entity_count,distinct_entity_types,most_frequent_entity,most_frequent_entity_count
Rent_a_Coop_9b03af7d4e,307,234,18,2111,1774,17.055555555555557,1.8371335504885993,12.739842562432141,13.467173362287369,0.6807817589576547,0.5407166123778502,0.14332247557003258,,45,8,Maryland,4
René_Stüssi_ffc39cab53,79,64,4,497,404,19.75,1.5063291139240507,9.887183544303799,10.431645569620253,0.6708860759493671,0.7341772151898734,0.189873417721519,,21,8,Stüssi,2
Repository_for_Germinal_Choice_a6034c02d8,854,611,34,5365,4480,25.11764705882353,1.7142857142857142,14.434453781512605,16.9791431326629,0.5644028103044496,0.42857142857142855,0.08196721311475409,,83,8,Graham,8
Reptiles_(magazine)_b4d390c4a6,284,213,14,2001,1683,20.285714285714285,1.8767605633802817,14.467203219315895,16.14245472837022,0.6830985915492958,0.6232394366197183,0.11267605633802817,,36,7,Reptiles,5
Reshmi_kabab_731eebf0ea,164,115,10,975,805,16.4,1.5731707317073171,9.369414634146345,9.486829268292682,0.6585365853658537,0.6036585365853658,0.1402439024390244,,16,5,Reshmi,4
Resistência_(dog)_d02ecbb010,279,186,18,1695,1395,15.5,1.6308243727598566,9.698727598566311,9.210752688172043,0.5412186379928315,0.5412186379928315,0.1111111111111111,,36,8,Resistência,10
Reticulated_python_b70f72f74c,3547,2490,158,22578,18678,22.449367088607595,1.7011559063997745,13.238892860074301,14.663423181651101,0.5824640541302509,0.3244995771074147,0.053566394135889484,,409,15,Indonesia,11
Reticuloendotheliosis_virus_00bc18f43d,156,110,9,1103,935,17.333333333333332,2.0705128205128207,15.602051282051288,14.625641025641029,0.6730769230769231,0.5961538461538461,0.16025641025641027,,16,5,REV,2
Reto_Berra_797ac3097a,1094,809,50,6762,5562,21.88,1.5027422303473492,10.675558318098723,12.042676416819013,0.5648994515539305,0.30895795246800734,0.07861060329067641,,251,11,Berra,30
Retroculini_5cd2a890a1,94,68,4,735,612,23.5,2.106382978723404,18.430319148936167,16.208510638297874,0.6170212765957447,0.648936170212766,0.1595744680851064,,23,7,Brazil,2
Retroculus_7e4a7b932a,94,68,4,734,611,23.5,2.095744680851064,18.304787234042553,16.208510638297874,0.6170212765957447,0.648936170212766,0.1702127659574468,,22,7,Brazil,2
Retroculus_lapidifer_9fe6fa0531,437,284,20,2521,2067,21.85,1.5240274599542334,10.915024027459953,12.858993135011444,0.5583524027459954,0.5217391304347826,0.059496567505720827,,30,10,R.,3
Return_of_the_Seven_e6e05c17ea,700,483,36,4298,3554,19.444444444444443,1.6442857142857144,11.395904761904763,11.263492063492064,0.62,0.4757142857142857,0.05857142857142857,,123,11,Chico,7
Return_to_Plain_Awful_5801468689,542,372,21,3273,2714,25.80952380952381,1.514760147601476,12.349884027411704,13.792444210156388,0.5756457564575646,0.4612546125461255,0.09778597785977859,,59,10,Scrooge,10
Reuben_W._Stroud_96ea3811e0,112,83,6,741,606,18.666666666666668,1.7232142857142858,12.023928571428574,11.395238095238097,0.5803571428571429,0.5714285714285714,0.13392857142857142,,27,6,Syracuse,4
Revavroom_8e71c445fa,372,255,17,2366,1971,21.88235294117647,1.7258064516129032,13.308633776091085,13.376597090449081,0.6075268817204301,0.49731182795698925,0.12365591397849462,,64,10,Pokémon,14
Reveille_(dog)_964c4c8381,2442,1757,131,15351,12701,18.641221374045802,1.6158886158886159,10.747562003363534,12.567053660183433,0.5765765765765766,0.3284193284193284,0.07043407043407043,,346,13,Reveille,37
